,label,amesTestPositive,cytogen_ca,cytogen_sce,isMutagenic,salmonella,salmonella_n,drosophila_rt,drosophila_slrl,mouse_lymph,chromaberr,chromex,micronuc_f,micronuc_m,salmonella_reduc
http://dl-learner.org/carcinogenesis#d1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,
http://dl-learner.org/carcinogenesis#d10,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,
http://dl-learner.org/carcinogenesis#d100,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,1.0,,,,,
http://dl-learner.org/carcinogenesis#d101,1.0,0.0,0.0,1.0,1.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d102,1.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,0.0,,,,
http://dl-learner.org/carcinogenesis#d103,1.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,1.0,,,,
http://dl-learner.org/carcinogenesis#d104,1.0,0.0,0.0,1.0,1.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d105,1.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,0.0,,,,
http://dl-learner.org/carcinogenesis#d106,1.0,0.0,,,1.0,0.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d107,1.0,0.0,,,1.0,,,,,,,,,,
http://dl-learner.org/carcinogenesis#d108,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d109,1.0,0.0,1.0,1.0,0.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d11,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d110,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,,0.0,,,
http://dl-learner.org/carcinogenesis#d111,0.0,0.0,,,0.0,0.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d112,0.0,0.0,0.0,1.0,1.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d113,0.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d114,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d115,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.0,1.0,1.0,,,
http://dl-learner.org/carcinogenesis#d116,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d117,0.0,0.0,0.0,1.0,1.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d118,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d119,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,
