,label,ActivityScore_NCTRER,DSSTox_CID,DSSTox_Generic_SID,DSSTox_RID,ER_RBA,F1_Ring,F2_AromaticRing,F3_PhenolicRing,F4_Heteroatom,F5_Phenol3nPhenyl,F6_OtherKeyFeatures,LOGP,LOG_ER_RBA,Mean_ER_RBA_ChemClass,STRUCTURE_MolecularWeight,number_of_atom_lists,number_of_atoms,number_of_bounds,atom-atom_mapping_number,atom_coordinate_x,atom_coordinate_y,atom_coordinate_z,atom_number,charge,mass_difference
http://dl-learner.org/nctrer/1,1.0,66.0,2308.0,22308.0,22308.0,0.436,1.0,1.0,1.0,0.0,1.0,0.0,2.84,-0.36,0.019,270.2369,0.0,20.0,22.0,,,,,,,
http://dl-learner.org/nctrer/10,1.0,44.0,2317.0,22317.0,22317.0,0.00446,1.0,1.0,1.0,0.0,1.0,0.0,1.18,-2.35,0.019,286.2404,0.0,21.0,23.0,,,,,,,
http://dl-learner.org/nctrer/100,1.0,49.0,1125.0,21125.0,22407.0,0.0135,1.0,1.0,1.0,0.0,1.0,0.0,3.06,-1.87,0.0087,318.3282,0.0,24.0,27.0,,,,,,,
http://dl-learner.org/nctrer/101,1.0,34.0,2408.0,22408.0,22408.0,0.00056,1.0,1.0,1.0,0.0,1.0,0.0,3.21,-3.25,0.0087,354.3765,0.0,25.0,28.0,,,,,,,
http://dl-learner.org/nctrer/102,1.0,36.0,2409.0,22409.0,22409.0,0.00085,1.0,1.0,1.0,0.0,1.0,0.0,1.65,-3.07,0.0087,250.2686,0.0,17.0,18.0,,,,,,,
http://dl-learner.org/nctrer/103,0.0,0.0,2265.0,22265.0,22410.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.37,-10000.0,,269.7671,0.0,18.0,18.0,,,,,,,
http://dl-learner.org/nctrer/104,0.0,0.0,2411.0,22411.0,22411.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,8.99,-10000.0,0.0087,424.6585,0.0,31.0,32.0,,,,,,,
http://dl-learner.org/nctrer/105,0.0,0.0,2412.0,22412.0,22412.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.69,-10000.0,,210.278,0.0,16.0,17.0,,,,,,,
http://dl-learner.org/nctrer/106,0.0,0.0,2413.0,22413.0,22413.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.65,-10000.0,0.00088,164.2011,0.0,12.0,12.0,,,,,,,
http://dl-learner.org/nctrer/107,0.0,0.0,1644.0,21644.0,22414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,-10000.0,,174.1944,0.0,12.0,11.0,,,,,,,
